SAT,GPA
1220,4
1160,3.8
950,3.8
1070,4
1110,4
1220,2.8
1150,3.8
1440,4
850,2.6
1280,3.8
1020,3.8
880,2.8
1080,3.8
1200,3.5
1120,3.8
970,3.2
1210,4
1030,3.8
1020,4
1400,4
720,3.3
1170,3.9
1070,3.5
860,3.5
920,2
1350,4
910,2.3
980,3.5
800,3.5
1070,4
1320,3.8
900,3
1200,4
1260,2.8
830,2.8
1330,3.5
1070,3.8
810,2
1240,3.8
820,2.8
1140,3
1170,2.3
870,3.5
1010,3
760,3
810,2.7
830,3
1240,3.8
910,3.1
1230,3
1100,3
970,3
1090,3.3
1300,3.2
1070,3.8
1040,2.5
1320,4
1230,3.8
890,3.5
960,2.9
920,2.9
1260,2.3
1060,2.8
1040,4
990,4
1040,3.8
1300,4
950,3.3
1090,2.7
1020,3.5
1270,3
1160,3.3
1050,2.8
1130,3
880,2.5
750,2.8
1200,3.5
1010,3.3
1060,4
1010,3.5
1080,3
1090,3.5
940,3.8
1170,4
920,3
990,3.5
1100,4
1270,4
930,3.8
790,3.3
1080,3.8
740,3
960,2.5
1170,4
1050,3.8
1250,4
1090,2.7
1010,3.5
1200,3.2
1080,3.5
1200,2.8
1070,3.4
970,2.8
1140,2
1360,4
1260,4
1170,3.9
1160,3
1310,3
1090,4
1040,2
1070,3
890,3.7
1280,4
1270,3.8
1190,2.5
1070,3
1410,3.5
1250,4
1070,4
910,3.8
1230,3.5
1290,3.8
1100,3
820,2.3
990,3.8
1010,4
1210,3.8
860,3
1210,4
1240,4
970,2.6
930,2.8
1250,2.5
1200,2.5
1110,3.8
850,3.5
1130,4
1370,4
970,3.3
980,3.2
1240,3.8
1040,2.8
1330,3.8
1220,4
1340,3.8
1160,3.8
1030,3.3
950,3
1000,3.5
1020,3
990,3
1140,3.5
1090,3.7
700,2.4
1230,3.5
1030,2
870,3
1130,3.5
1150,4
930,4
880,3
1050,4
1230,4
1370,3.5
1230,4
900,2
1330,3.7
1120,4
710,2.8
920,3.3
1110,3.8
1100,2.8
1070,2.3
970,3
1020,2.3
900,2.5
860,2
1030,3.2
1020,2.5
880,2.5
1220,3
880,4
930,2.5
1040,2.3
940,2.9
1120,2.8
1310,3
1280,3.2
900,3
1150,3.4
1190,4
920,3.5
1090,3.3
1130,3.4
1080,2.8
760,2
670,2.3
850,2.5
1050,3.5
840,2.3
700,2.2
1290,2.5
980,2
1150,2.5
920,2.7
820,2.3
1230,4
1030,3
1180,3.8
1070,2.8
1150,3
1200,4
980,2.8
1190,4
1010,2.7
1150,4
1330,4
880,3
1060,3
1000,2.6
1030,3.3
1190,4
1180,3
1100,4
1230,4
1120,3.8
890,2.8
1020,3.8
1150,3.3
1000,3.8
1050,3.5
920,2.3
770,2
720,3.5
1140,3.3
1100,3.8
920,3.8
1300,4
930,2.8
990,3.8
1030,3.3
1300,3.7
740,3.1
850,3
980,3.8
1040,3
1080,3
1170,3.8
1330,4
890,2.3
1040,3.8
930,2.5
1110,4
650,3
1210,3.3
920,3.5
950,4
820,3.5
1080,4
1330,4
970,3.5
940,3.4
790,3.6
1100,4
1150,3
880,3.4
880,3.8
1250,4
910,3.8
1200,4
1040,3.8
1170,3
890,3
930,2.2
870,3.3
1050,3.3
1180,2.8
1000,3.3
1080,2.1
1100,3.4
940,2.4
1040,3.7
1080,2.7
1100,3.5
1150,3.6
1060,2.5
1030,4
950,3.3
960,3.1
1200,2.1
1090,2.8
1060,3.5
810,3.1
1150,2.9
1030,2.8
1240,4
1080,2.8
1010,3.3
980,2.5
1050,2.7
1180,2.3
980,2.6
940,2.8
900,2.8
980,2.5
1270,3.8
940,2.7
1180,3.3
1010,2.3
770,3.2
840,2.9
910,2.8
860,3.4
1090,2.5
1110,3.8
1120,3.3
1190,3.2
1020,3.3
1230,2.6
920,3.1
930,3.1
870,3.2
1370,3.8
1080,3.3
1000,2.8
1070,3.5
980,2.2
810,2.8
930,3.3
890,3
1100,3.7
930,2.9
810,2.7
1020,2.8
1250,3.7
1150,3
1250,3.5
870,4
1150,3.8
1120,3.5
980,2.9
970,3.5
1030,2.8
1020,2.8
1080,3.2
1120,3.2
980,2.7
930,3
1120,2.4
1240,4
1080,3
1170,2.1
740,2.8
810,2
1060,2.8
990,2.9
1120,2.5
770,3.1
890,2.8
1060,3.1
1100,3
900,3.1
930,3.7
930,2.9
1080,2.5
1010,3.4
1280,4
1230,3.8
1040,3.8
950,3.4
1000,3.5
880,3.5
1060,3.5
1150,2.7
870,2.9
770,2.5
1030,2.8
1020,4
910,2.7
1030,3.5
1030,4
1000,2.9
1220,3.2
1140,3.7
1020,2.7
970,2.7
1090,3
1020,3.5
1140,3.2
1030,2.8
980,2.5
1070,2.5
940,3.3
1190,3.3
1180,2.4
1080,3.2
860,3
900,2.6
1180,2.4
920,3.5
1020,3.7
820,2.7
830,3
1020,3.1
1070,3.2
900,3.7
1020,3.9
1070,3.8
940,3.1
1130,2.9
1250,4
1090,4
990,2.6
1030,2.9
880,2.8
1030,3.3
1020,2.7
800,2.4
1090,2.5
1260,3.4
1170,3.9
1050,3.4
840,2.5
920,2.9
1120,3
980,2.5
1150,3.8
1080,3.6
940,2.3
1100,3.4
870,3.5
1150,4
1030,2.8
790,2.9
1120,4
1300,3.7
1120,2.8
1120,2.7
840,2.5
990,3.4
880,3
1130,3.8
1040,3.7
960,3.7
1110,3.6
1020,3.4
1150,4
820,3.2
1030,3.2
940,2.6
1120,3.9
870,2.7
970,2.5
770,2.6
860,2.9
740,2.8
1060,3.7
980,2.9
1070,3.3
1110,3.8
1040,2.2
1010,3.3
900,2.7
1040,2.9
1090,2.8
940,3.8
1140,3.3
880,3.1
930,2.9
900,2.8
880,2.6
950,2.9
1010,3.5
1090,3.8
980,2.9
1000,3.3
1010,3.3
1070,3.2
880,2.9
770,3.5
1160,3.3
1120,3.4
1020,3.7
750,2.9
950,2.7
1130,3.8
1010,3.8
920,3.7
970,3.8
1030,2.8
1040,4
1010,4
890,2.7
870,2.2
970,3.7
1100,2.9
1100,3.4
940,2.6
